"class" "garden" "provenance" "g" "alpha" "beta" "delta" "never_germinated" "provenance_full" "g_without_death" "num_seeds_germinated" "keep" "p_survive_until_x_1" "p_survive_until_x_2" "p_survive_until_x_3" "p_survive_until_x_4" "p_survive_until_x_5" "p_survive_until_x_6" "p_survive_until_x_7" "p_survive_until_x_8" "p_survive_until_x_9" "p_survive_until_x_10" "p_survive_until_x_11" "p_survive_until_x_12" "p_survive_until_x_13" "p_survive_until_x_14" "p_survive_until_x_15" "p_survive_until_x_16" "p_survive_until_x_17" "p_survive_until_x_18" "p_survive_until_x_19" "p_survive_until_x_20"
"11_Fagus_France_Massif_Armoricain" "11" "France Massif Armoricain" NA NA NA NA FALSE "Fagus_France_Massif_Armoricain" 0.04 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11_Fagus_France_Massif_Central_North" "11" "France Massif Central North" NA NA NA NA FALSE "Fagus_France_Massif_Central_North" 0.08 4 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11_Fagus_Iran_Alborz_Mountains" "11" "Iran Alborz Mountains" 0.176178 0.0647775 0.000222868 0.345851 FALSE "Fagus_Iran_Alborz_Mountains" 0.06 6 TRUE 0.144115411484899 0.117893548087185 0.0964473960821261 0.0789063267985882 0.0645585835061947 0.0528222625944484 0.043221600292349 0.0353675939808734 0.0289421650102715 0.0253217032648261 0.0207230231405339 0.0169603230647174 0.0138814852452721 0.0113620985691977 0.00930040724314818 0.00761318126303427 0.00623234032519182 0.0051021935799172 0.00446518018338314 0.00365577436853354
"11_Fagus_Italy_Passo_Fittanze" "11" "Italy Passo Fittanze" 0.99998 0.150111 0.0947556 0.269497 FALSE "Fagus_Italy_Passo_Fittanze" 0.1 5 TRUE 0.544726036192867 0.316091653397813 0.194027463854924 0.139094383143497 0.0928697237552602 0.0646059610142048 0.0504232733726321 0.0373101239415291 0.0284553978579578 0.0222989243285043 0.0188742844460296 0.0154088211627789 0.0128357670987892 0.0113270802933337 0.00972768594147924 0.00848070309663771 0.00749427715013982 0.00688578134330699 0.00621092189539679 0.00565926232550664
"11_Fagus_Romania_SE_Carpathians" "11" "Romania SE Carpathians" NA NA NA NA TRUE "Fagus_Romania_SE_Carpathians" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11_Fagus_Slovakia_Middle_Region" "11" "Slovakia Middle Region" NA NA NA NA FALSE "Fagus_Slovakia_Middle_Region" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11_Fagus_Slovenia_Dinarsko" "11" "Slovenia Dinarsko" 0.23619 0.038367 0.521115 0.0741231 FALSE "Fagus_Slovenia_Dinarsko" 0.1 5 TRUE 0.156259960599872 0.124658889105553 0.107922184377893 0.0997074624314892 0.0947843825699146 0.0921814937793722 0.0905530154133366 0.0896693563987796 0.0891080932225415 0.0888007426857387 0.0886044868522716 0.088496670218377 0.0884276959842723 0.0883897608349058 0.0883654763322596 0.088352114765214 0.0883435592591891 0.0883388512755494 0.0883358364734647 0.0883341773849009
"11_Fagus_Switzerland_Salenstein" "11" "Switzerland Salenstein" NA NA NA NA TRUE "Fagus_Switzerland_Salenstein" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12_Fagus_Austria_Randgebirge_South" "12" "Austria Randgebirge South" NA NA NA NA TRUE "Fagus_Austria_Randgebirge_South" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12_Fagus_France_Massif_Armoricain" "12" "France Massif Armoricain" NA NA NA NA FALSE "Fagus_France_Massif_Armoricain" 0.06 3 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
